original_class,passage,index,predicted_class
world,Minister stubs out smoke policy: THE Government #39;s plans for a partial ban on smoking in public places seems to have fallen far short of what has been proposed by Liverpool City Council.,0,science_technology
science_technology,"US university tells 80,000 to  #39;ditch IE #39;: US university Penn State has advised its 80,000 students to ditch Internet Explorer, citing that browser #39;s well-reported security vulnerabilities.",1,science_technology
world,SLAIN FILMAKER: Dutch directory made films that questioned Islam: A Dutch filmmaker who outraged members of the Muslim community with his works #39; attacks on the treatment of women in Islamic society was gunned down and stabbed to death on an Amsterdam street Tuesday morning.,2,world
business,"Strike threat to Christmas post: A union warns of ""very serious problems over Christmas"" if its members vote to strike in a row over pay.",3,business
sports,"Miller routs rivals for sixth win: Bode Miller added another triumph to his sparkling season on Monday, claiming his sixth World Cup win of the campaign in a slalom and a new entry in the record books.",4,sports
business,"CPS cites worker burden in continued abuse: Texas children remain in life-threatening situations and are continually abused because child protective workers are inundated with excessive caseloads, an investigative report released Friday concludes.",5,business
world,"69 Dead in Japan Typhoon as Hopes Fade for Missing:  TOKYO (Reuters) - As the death toll rose from Japan's  deadliest typhoon in two decades, experts warned on Friday that  climate change could bring a stormier future.",6,world
business,"UPDATE 1-Fannie Mae whistle-blower won #39;t testify: A former Fannie Mae (FNM.N: Quote, Profile, Research) employee who gave US regulators information about alleged accounting irregularities will not testify as planned before a congressional hearing next week, the committee ",7,business
world,"Sharon deal to ease pullout from Gaza: ISRAELS opposition Labour Party last night clinched a deal with Ariel Sharons Likud Party to join his coalition, a move that could ease the planned withdrawal from Gaza.",8,world
business,"Carnival sails to higher 3Q profit: Carnival Corp., the world #39;s biggest cruise group, said Friday its quarterly earnings rose sharply, citing the merger with P amp;O Princess Cruises last year.",9,business
world,"Review Finds Fla. Counties Voted for Bush (AP): AP - A newspaper's review of ballots cast in three north Florida counties where registered Democrats heavily outnumber Republicans showed just what officials reported: The counties' voters did on Election Day as they often do, voting for a Republican for president.",10,world
business,"Mylan's ""Three-Ring Circus"": Icahn is involved in the Mylan-King Pharmaceuticals deal for his benefit only.",11,business
sports,"Olympics Wrap: Another Doping Controversy Surfaces:  ATHENS (Reuters) - Olympic chiefs ordered Hungarian hammer  gold medallist Adrian Annus Friday to submit another doping  sample or risk losing his medal, while another of his  compatriots was stripped of a medal for failing a test.",12,sports
world,"Stocks Mixed As Oil Prices Remain Higher: NEW YORK - Stocks were narrowly mixed Tuesday as oil prices remained higher and Wall Street weighed a lackluster report on retail sales, but light volume showed that many investors remained on the sidelines.    With Hurricane Ivan threatening oil rigs in the Gulf of Mexico, crude futures moved higher for the second straight day, but the possibility of an increase in output from OPEC took the edge off investors' concerns...",13,world
science_technology,"Mass. Firm Offers Lifetime Phone Service for \$999:  WASHINGTON (Reuters) - For customers who either love to  plan ahead or hate monthly bills, a small Massachusetts  telecommunications firm has launched a \$999 offer of unlimited  Internet-based telephone service for life.",14,science_technology
science_technology,"Mobile Phones Increase Tumor Risk - Swedish Study (Reuters): Reuters - Ten or more years of mobile phone use\increases the risk of developing acoustic neuroma, a benign\tumor on the auditory nerve, according to a study released on\Wednesday by Sweden's Karolinska Institute.",15,science_technology
business,"Weak US dollar could hurt growth, slow rate increases by central &lt;b&gt;...&lt;/b&gt;: OTTAWA (CP) - Sustained weakness in the US dollar will dampen American demand for Canadian products at the same time the global economy also appears to be slowing, Bank of Canada Governor David Dodge warned Wednesday.",16,business
science_technology,"Browsing at Google: Now that Google #39;s (Nasdaq: GOOG) IPO has come and gone, with differing opinions of the relative success of the Dutch auction model, it #39;s been relatively quiet over at the search engine #39;s Mountain View, Calif.",17,business
world,Qanooni says he will accept Afghan vote result: KABUL (AFP) - Incumbent leader Hamid Karzai #39;s chief rival Yunus Qanooni told AFP he would accept the outcome of Afghanistan #39;s presidential election despite his allegations of fraud.,18,world
science_technology,"Macromedia launches Flex Builder: Macromedia this week will ship Flex Builder, which is designed to provide an interactive development environment for the companys Flex presentation server.",19,science_technology
sports,"Chelsea Beats Fulham 4-1 to Retain Premiership Lead (Update1): Chelsea won 4-1 at Fulham in English soccer #39;s Premiership to retain its two-point lead at the top of the standings over Arsenal, which beat north London rival Tottenham 5-4.",20,sports
sports,"One game of true passion on a night of fakes: With the stirring exception of Liverpool versus Olympiakos, where both sides fought to exhaustion to try to qualify for the second round, the last set of matches in the group stage was another night of shameful collusion in the Champions League - another ",21,sports
business,Would You Pay for Airline Food?: Alaska Airlines plans to test a pay-to-eat plan on some flights in a move to cut costs.,22,business
world,"Russia #39;s grim return to reality: Children were arriving at the school on Bakhrushina Street in central Moscow: small girls with oversize ribbons festooning their hair, small boys, fidgety and chattering, dwarfed by large satchels.",23,world
business,"UPDATE 1-Wal-Mart sets \$10 billion share repurchase plan: Wal-Mart Stores Inc. (WMT.N: Quote, Profile, Research) , the world #39;s top retailer, on Wednesday said its board of directors authorized a \$10 billion stock repurchase plan, replacing a \$7 billion share buyback program.",24,business
