original_category,narrative,index,predicted_category
retail_banking,forwarded message cc sent friday pdt subject final legal payment well fargo well fargo clearly wrong need look actually opened account see court hearing several different government agency reporting well including branch put open account numerous fraudulent charge debit card connected account clearly due fact well fargo maintain clearly required encryption card keep secure adding damage request small claim lawsuit time take away running business branch required come branch multiple time get fraudulent charge removed actually present strong case proper consumer protection agency well fargo immediately barred issuing account debit card insure agency card adequate prevent fraudulent use also requesting punitive treble damage sum hour take work handle lawsuit along legal cost filing lawsuit county small claim court today well fargo outrageous fraudulent conduct clearly warrant punitive damage also sharing every possible consumer protection agency find would think well fargo enough adverse publicity fraudulent conduct last year introduce small claim suit clearly establishing well fargo established business practice fraud customer ca judge really need reminded might want immediately run bonus payment legal department,4,credit_card
credit_reporting,collection account acct opened balance account acct opened balance account,14,credit_card
credit_reporting,xxxxxxxx credit card year disputed charge vendor xxxxxxxx said reversed charge pay charged late fee interest paying statement amount xxxxxxxx reversed late fee incident showing credit report late payment closed account year never paid late underpaid amount owed mostly kept balance,15,credit_card
credit_reporting,xxxxxxxx credit card year disputed charge vendor xxxxxxxx said reversed charge pay xxxxxxxx charged late fee interest paying statement amount xxxxxxxx reversed late fee incident showing credit report late payment closed account year never paid late underpaid amount owed mostly kept balance,20,credit_card
mortgages_and_loans,converted lease vehicle three month lease end date sale dealer accepted deal including tax remaining payment existing lease deal work try convert lease vehicle sale office provide quote based current payoff amount car agreed bought vehicle problem sale manager dealer failed pay payment current lease instead paid two payment saying contract written manner checked contract paper nowhere mentioned converting lease vehicle new also financial document say current payoff amount much dealer agreed pay existing lease initially paid two payment ask benz financial service remove turn fee extra mileage called multiple remove well felt cheated deal providing proper information one payment need pay financial company also car sold used car knowledge,23,credit_card
mortgages_and_loans,made extra payment may loan principal payment applied principal several extra payment automatically allocated late fee ally electronic payment system automatically allocates fund first payment second outstanding fee third principal ally policy state customer may request payment fund applied principal called emailed ally first time occurred stated would like payment allocated principal chose paying principal faster allows le interest finance charge time called ally would reallocated portion amount late fee principal process would also take long reallocation would cross another payment would call get payment allocated late fee principal ally would allocate le amount allocated stand ally applied account fund removed late fee reallocated account,22,credit_card
debt_collection,purchased laptop laptop damaged turned repair center full replacement insurance conns issued replacement laptop full warranty conns reported credit possessed laptop charged laptop contract since fighting get laptop possession conns credit report conns refused conns lied added additional contract agree another contract paperwork contract contract exact product contract unit charged laptop day conns settled matter sent collection settlement laptop possession conns laptop repair center never returned contract,26,credit_card
credit_reporting,name last four s account number writing dispute late payment reported impacted covid virus hospital long time lost job spoke advised payment deferred get credit alert reported past due violation care act late payment need removed pay account full correct credit report remove erroinious late fee told provided protection care act failed adhere offered one called received written notice term deferred plan rely rep told thought protected need make right comply care act fix credit reporting remove late fee call done account negative told going forebarace would put account credit limit illegal credit ruined udapp violation care act violation,32,credit_card
credit_reporting,name last four s account number writing dispute late payment reported impacted hospital long time lost job spoke advised payment deferred get credit alert reported past due violation care act late payment need removed pay account full correct credit report remove erroinious late fee told provided protection care act failed adhere offered one called received written notice term deferred plan rely rep told thought protected need make right comply care act fix credit reporting remove late fee call done account negative told going forebarace would put account credit limit illegal credit ruined udapp violation care act violation,30,credit_card
credit_reporting,name last four s xxxxmy account number writing dispute late payment reported kohl impacted hospital long time lost job spoke kohl advised payment deferred get credit alert reported past due violation care act late payment need removed pay account full correct credit report remove erroinious late fee told provided protection care act failed adhere offered one called kohl received written notice term deferred plan rely rep told thought protected kohl need make right comply care act fix credit reporting remove late fee call done account negative told going forebarace would put account credit limit illegal credit ruined udapp violation care act violation,31,credit_card
retail_banking,negative transfer loading transaction detail paypal negative transfer paid balance transaction id seller info paypal note usd paypal posting date payment paypal paypal damage caused acceptable use policy violation,34,credit_card
debt_collection,went store wife buy salesman offerred u special joing special buying special would install system free would pay basic service considered young son watch cartoon basic service watch premium service explained first bill would reflect fee totaling pay would rebated service would thereafter installed system first bill received almost twice agreed upon called dispute sitting hold hour waiting various people help apologized said would corrected next bill next bill came also twice represented called dispute sat hold hour point said could discus account delinquent paid amount month told amount would corrected next bill next bill came even higher called complain sat hold hour told would escalated corrected told could correct constant billing error take back equipment cancel service apologized profusely assured time would corrected never next bill came like others twice represented sat hold hour told could discus account delinquent paid amount month told amount would corrected next bill next bill came finally month correct amount would last month next one came double back xxxxmonth past due new regular monthly job waiting hold hour time feeling like straight defrauded shaken every month needing multiple long call contacted speak manager defrauded filled dispute form told could help contract actually division especially need contact contacted told exact opposite phone call hour plus phone call disconnected transferred hung afte waiting ended told could help call given final notice service would terminated owed double charged double paying almost year point called another call told come pick equipment defrauded want service anymore said would send someone pick equipment usual never said one showed disconnected service said owed somehow day later bank checked credit shock showed collection defrauded also ruined credit,35,credit_card
credit_reporting,entered settlement agreement behalf client credit card issuer american express see attached letter paid settlement amount full received notification american express account settled full see attached letter amount settlement withdrawn bank account via american express see attached bank statement american express sent letter account settled full additional charge due see attached letter american express sent amount debt discharged irs see attached form american express still reporting credit bureau delinquent account still owed discharged amount lodged dispute denied see dispute attached point time paid american express month ago yet still report owing deliquent thus affecting credit,43,credit_card
credit_reporting,open account acct opened balance account acct opened balance account closed account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account,44,credit_card
credit_reporting,open account acct opened balance account acct opened balance account closed account acct opened balance account acct opened balance account acct opened balance account xxxxxxxx xxxxxxxx acct opened balance account xxxxxxxx acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account acct opened balance account,58,credit_card
retail_banking,usaa punishing customer closing account reporting unrecognized charge usaa froze money account without notice ceo office stated would closed day false told must wait day get money back federally protected due va benefit fcra right violated usaa due giving false information would appreciate resolved quickly possible due financial hardship causing especially related,54,credit_card
