qid	text	relevant	answers
7707	who was president when idaho became a state	1	Benjamin Harrison
8127	when did dolly parton release i will always love you	12	in 1974
3545	pro kabaddi 2017 how many matches per team	23	22
3745	when was the first airline meal served during a flight	34	1919
8519	when was the cathedral of santa maria del fiore built	45	begun in 1296::completed by 1436
6489	who sang the country version of black velvet	56	Robin Lee
852	who plays cassidy on law and order svu	67	Dean Winters
1629	who has won the 2017 asian snooker championship	79	Lyu Haotian
4641	how many stations does the jerusalem light rail have	88	23
1122	who built the kaaba stone according to the quran	99	Ibrahim and Ishmael
5555	who did chris carter play for last year	110	Milwaukee Brewers
3001	the number o f railway zones in india are	121	18
8731	what is the metaphor for self used in the katha upanishad	132	honey
308	when was the last time wikipedia was updated	143	2017 - 11 - 05
1842	when was america taken off the gold standard	154	August 15 , 1971
8059	how many episodes are there in moon lovers	165	20
749	how many unitarian universalists are there in the us	176	199,850
2003	who plays ashley on fresh prince of bel-air	187	Tatyana Marisol Ali
2630	which musical is send in the clowns from	198	A Little Night Music
6262	who were the first british settlers in america	209	the London Company
1722	what are the 2 parks at euro disney	220	Disneyland Park::Walt Disney Studios Park
2427	who sang a thousand years at the end of breaking dawn	232	Christina Perri
7343	which republicans senators are up for reelection in 2018	248	Roger Wicker::Deb Fischer::John Barrasso::Jeff Flake::Ted Cruz::Dean Heller::Orrin Hatch
7600	who was the old woman in phantom of the opera	259	Madame Giry
6654	what is the latest version of safari on mac	285	Safari 11
7627	when does jurassic world fallen kingdom comes out	296	June 22 , 2018
1236	when did the first ipod touch come out	310	September 5 , 2007
5802	when is season 6 of chicago fire coming out	321	September 28 , 2017
4258	when is the finals of americas got talent 2017	332	September 20 , 2017
3208	who played in the super bowl in 2013	343	Baltimore Ravens::San Francisco 49ers
6895	names of founding fathers of the united states	354	Thomas Jefferson::James Madison::John Jay::George Washington::John Adams::Benjamin Franklin::Alexander Hamilton
3396	when did bucharest become the capital of romania	365	1862
8272	who played the frog in gnomeo and juliet	376	Ashley Jensen
3112	who plays the daughter in garage sale mysteries	387	Eva Bourne
2656	what is the age limit for ias for sc	398	37
3026	who plays barry allen in justice league movie	409	Ezra Miller
3030	when does the new army uniform come out	421	summer 2015
6827	who wrote the song this girl is on fire	432	Alicia Keys::Salaam Remi::Billy Squier::Jeff Bhasker
3333	when is season 2 of daredevil coming to netflix	443	March 18 , 2016
961	who did the original power rangers theme song	454	Ron Wasserman
4197	when does the 12th day of christmas begin	465	25 December
7983	who does the voice of jessie on toy story	476	Joan Cusack::Mary Kay Bergman
501	what is the tallest residential building in nyc	487	432 Park Avenue
8071	when does the getaway diary of a wimpy kid come out	498	November 7 , 2017
2782	who plays candle in beauty and the beast	509	Ewan McGregor
4546	what years did jeep make a diesel grand cherokee	520	1995 -- 1998
8198	who did jeffrey dean morgan play on supernatural	531	John Eric Winchester
6113	who plays plumette in beauty and the beast 2017	542	Gugu Mbatha - Raw
4526	who is the shortest man that ever lived	554	Chandra Bahadur Dangi
3954	what does the ac in ac moore stand for	565	arts and crafts
4679	what is the current strength of lok sabha	572	545
3343	how many seconds do you have to throw a grenade	583	4 and 5 seconds
2976	who does the voice over for arrested development	594	Ron Howard
3805	who was the lead architect that designed the world trade center and when was he born	605	December 1 , 1912::Minoru Yamasaki
4986	when was the internet invented for home use	616	the late 1980s
3778	when was the bellagio in las vegas built	627	1998
4144	who dies at the end of dear john	638	Tim
