qid,text,relevant,answers
7707,who was president when idaho became a state,9,Benjamin Harrison
8127,when did dolly parton release i will always love you,25,in 1974
3545,pro kabaddi 2017 how many matches per team,104,22
3745,when was the first airline meal served during a flight,121,1919
8519,when was the cathedral of santa maria del fiore built,136,begun in 1296::completed by 1436
6489,who sang the country version of black velvet,169,Robin Lee
852,who plays cassidy on law and order svu,177,Dean Winters
1629,who has won the 2017 asian snooker championship,189,Lyu Haotian
4641,how many stations does the jerusalem light rail have,193,23
1122,who built the kaaba stone according to the quran,233,Ibrahim and Ishmael
5555,who did chris carter play for last year,267,Milwaukee Brewers
3001,the number o f railway zones in india are,279,18
8731,what is the metaphor for self used in the katha upanishad,313,honey
308,when was the last time wikipedia was updated,339,2017 - 11 - 05
1842,when was america taken off the gold standard,361,"August 15 , 1971"
8059,how many episodes are there in moon lovers,400,20
749,how many unitarian universalists are there in the us,427,"199,850"
2003,who plays ashley on fresh prince of bel-air,479,Tatyana Marisol Ali
2630,which musical is send in the clowns from,491,A Little Night Music
6262,who were the first british settlers in america,520,the London Company
1722,what are the 2 parks at euro disney,553,Disneyland Park::Walt Disney Studios Park
2427,who sang a thousand years at the end of breaking dawn,579,Christina Perri
7343,which republicans senators are up for reelection in 2018,"595,597,599,600",Roger Wicker::Deb Fischer::John Barrasso::Jeff Flake::Ted Cruz::Dean Heller::Orrin Hatch
7600,who was the old woman in phantom of the opera,642,Madame Giry
6654,what is the latest version of safari on mac,664,Safari 11
7627,when does jurassic world fallen kingdom comes out,683,"June 22 , 2018"
1236,when did the first ipod touch come out,737,"September 5 , 2007"
5802,when is season 6 of chicago fire coming out,757,"September 28 , 2017"
4258,when is the finals of americas got talent 2017,781,"September 20 , 2017"
3208,who played in the super bowl in 2013,818,Baltimore Ravens::San Francisco 49ers
6895,names of founding fathers of the united states,878,Thomas Jefferson::James Madison::John Jay::George Washington::John Adams::Benjamin Franklin::Alexander Hamilton
3396,when did bucharest become the capital of romania,944,1862
8272,who played the frog in gnomeo and juliet,1018,Ashley Jensen
3112,who plays the daughter in garage sale mysteries,1042,Eva Bourne
2656,what is the age limit for ias for sc,1053,37
3026,who plays barry allen in justice league movie,1070,Ezra Miller
3030,when does the new army uniform come out,1144,summer 2015
6827,who wrote the song this girl is on fire,1156,Alicia Keys::Salaam Remi::Billy Squier::Jeff Bhasker
3333,when is season 2 of daredevil coming to netflix,1195,"March 18 , 2016"
961,who did the original power rangers theme song,1256,Ron Wasserman
4197,when does the 12th day of christmas begin,1262,25 December
7983,who does the voice of jessie on toy story,1282,Joan Cusack::Mary Kay Bergman
501,what is the tallest residential building in nyc,1299,432 Park Avenue
8071,when does the getaway diary of a wimpy kid come out,1313,"November 7 , 2017"
2782,who plays candle in beauty and the beast,1329,Ewan McGregor
4546,what years did jeep make a diesel grand cherokee,1373,1995 -- 1998
8198,who did jeffrey dean morgan play on supernatural,1398,John Eric Winchester
6113,who plays plumette in beauty and the beast 2017,1424,Gugu Mbatha - Raw
4526,who is the shortest man that ever lived,1522,Chandra Bahadur Dangi
3954,what does the ac in ac moore stand for,1537,arts and crafts
4679,what is the current strength of lok sabha,1541,545
3343,how many seconds do you have to throw a grenade,1569,4 and 5 seconds
2976,who does the voice over for arrested development,1580,Ron Howard
3805,who was the lead architect that designed the world trade center and when was he born,1629,"December 1 , 1912::Minoru Yamasaki"
4986,when was the internet invented for home use,1674,the late 1980s
3778,when was the bellagio in las vegas built,1739,1998
4144,who dies at the end of dear john,1759,Tim
2856,who is the captain of the indian football team,1769,Sunil Chhetri
6806,who supported north vietnam in the vietnam war,1803,the Soviet Union::China
3291,when did the 5th circuit became the 11th circuit,1827,"October 1 , 1981"
2813,who had the highest approval rating as president,1846,Kennedy
4516,who plays the daughter in santa clarita diet,1855,Liv Hewson
1785,vikram samvat is official calendar of which contry,1872,Nepal
2103,who sings lead on please let me wonder,1885,Brian Wilson
6826,when is season 8 of total divas coming out,1898,fall 2018
4569,who wrote the song there goes my everything,1920,Jack Greene
6448,when was the first suitcase with wheels invented,1930,at least to the 1930s
5980,which team has the most ncaa tournament appearances,1942,Kentucky
5169,how many season did shaq play in the nba,1956,19
400,who sings the song stuck in the middle with you,2069,Stealers Wheel .
3762,who is though she be but little she is fierce about,2079,Hermia
2252,what kind of meat is philly cheese steak made out of,2083,beefsteak
8361,what is the seatbelt compliancy rate in texas,2095,90 % and higher
4388,who played dr frank n furter in rocky horror,2107,Tim Curry
