qid	text	relevant	answers
1	why is ireland not a member of the commonwealth	-1	-
2	what caused the dodo bird to become extinct	14397,14398,14398,14399	Due to the fact of having no fear of humans and its inability to fly, dodo was an easy prey for sailors. The introduction of dodo eating animals, in addition to destroying the forest habitat of the dodos also helped cause the bird to become extinct.
3	what is the function of insulin and where is it produced	2565	Insulin is a peptide hormone produced by beta cells of the pancreatic islets.  It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of, especially glucose from the blood into liver, fat and skeletal muscle cells.  Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood.  Circulating insulin also affects the synthesis of proteins in a wide variety of tissues promoting the conversion of small molecules in the blood into large molecules inside the cells.
4	keh do keh do dil ki baatein mp3 download	-1	-
5	who are the interns in grey's anatomy season 9	9238,9238	In August 2012, it was announced that Camilla Luddington, Gaius Charles, and Tina Majorino had been cast as Jo Wilson, Shane Ross, and Heather Brooks, respectively; these characters would be the new interns of Seattle Grace-Mercy West.  In September 2012, it was announced that Jerrika Hinton and Tessa Ferrer had been cast as new interns Stephanie Edwards and Leah Murphy, respectively.::In Grey's Anatomy (season 9), it was announced that Camilla Luddington , Gaius Charles , Tina Majorino, Jerrika Hinton and Tessa Ferrer had been cast as Jo Wilson , Shane Ross , Heather Brooks , Stephanie Edwards and Leah Murphy, who are the new interns of Seattle Grace - Mercy West.
6	where did they film game of thrones season 2	22447,22448,22448,22449	For the second season , filming took place in the city of Dubrovnik , Croatia; Iceland; Vatnajökull glacier, Svínafellsjökull glacier near Skaftafell; the Mýrdalsjökull glacier near Vik; the Linen Mill Film & Television Studios in Banbridge, Ballintoy Harbour; Downhill Strand; the Moneyglass Estate near Toome village.
7	who owns the federal reserve bank of america	15306	The Federal Reserve System has both public and private components.  It is governed by the presidentially appointed Board of Governors or Federal Reserve Board.  Nationally chartered commercial banks are required to hold stock in the Federal Reserve Bank of their region, which entitles them to elect some of their board members.
8	what happened to angela in the deer hunter	-1	-
9	the presidents of the united states of america - kitty	-1	-
10	why might it be difficult for medical professionals to diagnose a specific illness	27277,27277	Diagnosis is often challenging, because many signs and symptoms are nonspecific. Thus differential diagnosis, in which several possible explanations are compared and contrasted, must be performed. This involves the correlation of various pieces of information followed by the recognition and differentiation of patterns. Occasionally the process is made easy by a sign or symptom that is pathognomonic.::Diagnosis is often challenging , because many signs and symptoms are nonspecific .
11	what is the headline of today’s miami herald	-1	-
12	what are the three stages of cell division	27674,27674	In bacteria, which lack a cell nucleus, the cell cycle is divided into the B, C, and D periods.   In cells with a nucleus, as in eukaryotes, the cell cycle is also divided into three periods: interphase, the mitotic phase, and cytokinesis.::In bacteria, the cell cycle is divided into the three periods B, which extends from the end of cell division to the beginning of DNA replication, C, during which DNA replication occurs, and D, which refers to the stage between the end of DNA replication and the splitting of the bacterial cell into two daughter cells.\nIn cells with a nucleus, the three periods are interphase, during which the cell grows, the mitotic (M) phase, during which the chromosomes separate, and cytokinesis, during which the chromosomes and cytoplasm separate into two new daughter cells.
13	why did carter boycott the 1980 olympics in moscow	5215	Western governments first considered the idea of boycotting the Moscow Olympics after the invasion of Afghanistan. On 14 January 1980, the Carter Administration set a deadline by which the Soviet Union must pull out of Afghanistan or face the consequences, including an international boycott of the games.
14	fall out boy's evening out with your girlfriend	-1	-
15	to which groups are members of congress responsible	-1	-
16	give three reasons why the fynbos biome is so important to south africa and the world	4055	Of the world 's six floral kingdoms, Fynbos is the smallest and richest per unit of area. The diversity of fynbos plants is extremely high, with over 9000 species of plants occurring in the area, around 6200 of which are endemic, i.e. growing nowhere else in the world. South Africa's Western Cape has a level of botanic diversity that exceeds that of the richest tropical rainforest in South America, including the Amazon. Of the Ericas, over 600 occur in the fynbos kingdom, while only two or three dozen have been described in the rest of the world.
17	who played greg's mom in diary of a wimpy kid	15839,15840,15840	Susan Heffley is Greg 's mother, and she is portrayed by Rachael Harris in the first three films of the Diary of a Wimpy Kid film series.::Rachael Harris played Greg 's mother, Susan Heffley, in the first three films of the Diary of a Wimpy Kid film series.
18	where is a unitary system of government found	-1	-
19	when did the wall in berlin come down	9406	The government officials opened the Wall in November 1989, and its demolition officially began on 13 June 1990 and finished in 1992.
